participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.cq_wrong_first_try,player.cq_attempt_count,player.q1,player.q2,player.q3,player.q4,player.q5,player.self_assesment,group.id_in_subsession,group.treatment,group.market_design,group.group_composition,group.realized_group_size,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5ldlcszn,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.903229,1,,,4835.0,1,,0.0,1,ghp,Chrome,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,5,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
2,q5e90cmj,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.919659,1,,,5340.0,2,,0.0,1,ghp,Chrome,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
3,zp1owmpd,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.927339,1,,,5101.0,3,,0.0,1,ghp,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,4,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
4,yq2xbma3,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.936455,1,,,5553.0,4,,0.0,1,ghp,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,6,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
5,nmgjkj32,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.945320,1,,,4785.0,5,,0.0,1,ghp,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
6,cjmxcmcd,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.953403,1,,,5824.0,6,,0.0,1,ghp,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,3,1,ghp,gamified,human_only,6,1,8o0qyfku,,,,,0
7,00g81xoq,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.961108,1,,,4609.0,1,,0.0,1,ng,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,4,2,ng,non_gamified,human_only,6,1,8o0qyfku,,,,,0
8,3hlfki3e,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.969372,1,,,5540.0,2,,0.0,1,ng,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,5,2,ng,non_gamified,human_only,6,1,8o0qyfku,,,,,0
9,01xk5dk9,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.977127,1,,,4811.0,3,,0.0,1,ng,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,7,2,ng,non_gamified,human_only,6,1,8o0qyfku,,,,,0
10,etak4i29,,0,308,307,post_exp,FinalForProlific,2026-08-26 15:51:57.984978,1,,,4764.0,4,,0.0,1,ng,Edge,151.0.0,Windows,10,Other,0,0,0,1,,1,0,1,b,d,a,c,d,5,2,ng,non_gamified,human_only,6,1,8o0qyfku,,,,,0
