trading_session_uuid,trader_uuid,trader_type,event_name,element_type,element_id,element_label,client_ts,server_received_ts,payload_json,created_ts
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_unlock,bronze,Bronze,2026-08-26T15:34:58.379Z,2026-08-26T15:34:58.440162+00:00,"{""client_ts"": ""2026-08-26T15:34:58.379Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 10, ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758498.453498
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_modal,bronze,Bronze,2026-08-26T15:34:58.380Z,2026-08-26T15:34:58.464204+00:00,"{""client_ts"": ""2026-08-26T15:34:58.380Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""Level up! Doing well"", ""total_trades"": 10, ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758498.474189
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_gif,bronze,Bronze,2026-08-26T15:34:58.380Z,2026-08-26T15:34:58.482401+00:00,"{""client_ts"": ""2026-08-26T15:34:58.380Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/bronze.gif"", ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758498.492937
c33f8cde-81e6-4a9f-8673-953d6e00dbab,e7a35eae-f247-4db0-bc41-7f491b49fe36,HUMAN,shown,badge_unlock,bronze,Bronze,2026-08-26T15:35:30.476Z,2026-08-26T15:35:30.530657+00:00,"{""client_ts"": ""2026-08-26T15:35:30.476Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 10, ""trader_id"": ""e7a35eae-f247-4db0-bc41-7f491b49fe36""}",1787758530.540305
c33f8cde-81e6-4a9f-8673-953d6e00dbab,e7a35eae-f247-4db0-bc41-7f491b49fe36,HUMAN,shown,badge_modal,bronze,Bronze,2026-08-26T15:35:30.477Z,2026-08-26T15:35:30.547123+00:00,"{""client_ts"": ""2026-08-26T15:35:30.477Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""Level up! Doing well"", ""total_trades"": 10, ""trader_id"": ""e7a35eae-f247-4db0-bc41-7f491b49fe36""}",1787758530.55586
c33f8cde-81e6-4a9f-8673-953d6e00dbab,e7a35eae-f247-4db0-bc41-7f491b49fe36,HUMAN,shown,badge_gif,bronze,Bronze,2026-08-26T15:35:30.477Z,2026-08-26T15:35:30.560777+00:00,"{""client_ts"": ""2026-08-26T15:35:30.477Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/bronze.gif"", ""trader_id"": ""e7a35eae-f247-4db0-bc41-7f491b49fe36""}",1787758530.570919
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_unlock,silver,Silver,2026-08-26T15:35:33.608Z,2026-08-26T15:35:33.667128+00:00,"{""client_ts"": ""2026-08-26T15:35:33.608Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 15, ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758533.676116
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_modal,silver,Silver,2026-08-26T15:35:33.609Z,2026-08-26T15:35:33.685141+00:00,"{""client_ts"": ""2026-08-26T15:35:33.609Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""You belong on the trading floor!"", ""total_trades"": 15, ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758533.696105
c33f8cde-81e6-4a9f-8673-953d6e00dbab,b4946052-b64c-473e-8e10-803884efbafa,HUMAN,shown,badge_gif,silver,Silver,2026-08-26T15:35:33.609Z,2026-08-26T15:35:33.703734+00:00,"{""client_ts"": ""2026-08-26T15:35:33.609Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/silver.gif"", ""trader_id"": ""b4946052-b64c-473e-8e10-803884efbafa""}",1787758533.713927
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,1c5715be-5b10-473d-a9bc-78fa193efaa8,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.079Z,2026-08-26T15:36:07.148477+00:00,"{""client_ts"": ""2026-08-26T15:36:07.079Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""1c5715be-5b10-473d-a9bc-78fa193efaa8""}",1787758567.159314
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,5d055cc7-5cc3-4530-a883-bf0e5921da05,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.106Z,2026-08-26T15:36:07.166723+00:00,"{""client_ts"": ""2026-08-26T15:36:07.106Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""5d055cc7-5cc3-4530-a883-bf0e5921da05""}",1787758567.175796
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,b71fc348-ceb5-4975-92b3-7753a9e95a54,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.104Z,2026-08-26T15:36:07.179993+00:00,"{""client_ts"": ""2026-08-26T15:36:07.104Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""b71fc348-ceb5-4975-92b3-7753a9e95a54""}",1787758567.190224
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,3d3324e9-5445-4057-acb0-6761ddefbb9f,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.101Z,2026-08-26T15:36:07.195896+00:00,"{""client_ts"": ""2026-08-26T15:36:07.101Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""3d3324e9-5445-4057-acb0-6761ddefbb9f""}",1787758567.20854
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,16bc59c0-2171-4f16-85cd-cd07a0477548,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.109Z,2026-08-26T15:36:07.213169+00:00,"{""client_ts"": ""2026-08-26T15:36:07.109Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""16bc59c0-2171-4f16-85cd-cd07a0477548""}",1787758567.222437
165e20e5-5fa5-4ed2-a23e-ee75bd8adca5,b4ef8e21-9814-4eb2-a074-e18950b87fa0,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:36:07.096Z,2026-08-26T15:36:07.226656+00:00,"{""client_ts"": ""2026-08-26T15:36:07.096Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 4 ticks!"", ""trader_id"": ""b4ef8e21-9814-4eb2-a074-e18950b87fa0""}",1787758567.235918
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_unlock,bronze,Bronze,2026-08-26T15:38:23.787Z,2026-08-26T15:38:23.854555+00:00,"{""client_ts"": ""2026-08-26T15:38:23.787Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 10, ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758703.864049
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_modal,bronze,Bronze,2026-08-26T15:38:23.787Z,2026-08-26T15:38:23.868881+00:00,"{""client_ts"": ""2026-08-26T15:38:23.787Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""Level up! Doing well"", ""total_trades"": 10, ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758703.878623
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_gif,bronze,Bronze,2026-08-26T15:38:23.787Z,2026-08-26T15:38:23.884451+00:00,"{""client_ts"": ""2026-08-26T15:38:23.787Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/bronze.gif"", ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758703.892801
38fc97ee-cf72-47de-821d-ddf378545b9d,48086672-43f6-4d68-a4e1-8a5c1c97ec41,HUMAN,shown,trend_alert,up-streak,up-streak,2026-08-26T15:38:35.299Z,2026-08-26T15:38:35.348284+00:00,"{""client_ts"": ""2026-08-26T15:38:35.299Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""48086672-43f6-4d68-a4e1-8a5c1c97ec41""}",1787758715.357526
38fc97ee-cf72-47de-821d-ddf378545b9d,09b2b9ec-87b6-4d6d-ad61-35bf3276abf0,HUMAN,shown,trend_alert,up-streak,up-streak,2026-08-26T15:38:35.289Z,2026-08-26T15:38:35.362269+00:00,"{""client_ts"": ""2026-08-26T15:38:35.289Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""09b2b9ec-87b6-4d6d-ad61-35bf3276abf0""}",1787758715.371455
38fc97ee-cf72-47de-821d-ddf378545b9d,dee68b3d-8813-4fed-8daf-730ab5766fbb,HUMAN,shown,trend_alert,up-streak,up-streak,2026-08-26T15:38:35.294Z,2026-08-26T15:38:35.375681+00:00,"{""client_ts"": ""2026-08-26T15:38:35.294Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""dee68b3d-8813-4fed-8daf-730ab5766fbb""}",1787758715.384295
38fc97ee-cf72-47de-821d-ddf378545b9d,26a18016-0dcf-4699-87ea-55ab8f80a735,HUMAN,shown,trend_alert,up-streak,up-streak,2026-08-26T15:38:35.304Z,2026-08-26T15:38:35.393156+00:00,"{""client_ts"": ""2026-08-26T15:38:35.304Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""26a18016-0dcf-4699-87ea-55ab8f80a735""}",1787758715.401811
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_unlock,silver,Silver,2026-08-26T15:38:37.584Z,2026-08-26T15:38:37.706679+00:00,"{""client_ts"": ""2026-08-26T15:38:37.584Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 15, ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758717.71722
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_modal,silver,Silver,2026-08-26T15:38:37.584Z,2026-08-26T15:38:37.722202+00:00,"{""client_ts"": ""2026-08-26T15:38:37.584Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""You belong on the trading floor!"", ""total_trades"": 15, ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758717.731679
e90a0fe5-179b-47b4-aba7-ced55c86a91f,64cdfb26-f950-432e-932d-04404a90a2a0,HUMAN,shown,badge_gif,silver,Silver,2026-08-26T15:38:37.584Z,2026-08-26T15:38:37.736455+00:00,"{""client_ts"": ""2026-08-26T15:38:37.584Z"", ""element_id"": ""silver"", ""element_label"": ""Silver"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/silver.gif"", ""trader_id"": ""64cdfb26-f950-432e-932d-04404a90a2a0""}",1787758717.7458
e90a0fe5-179b-47b4-aba7-ced55c86a91f,feb2a20a-06b1-430e-b813-fbd33d93ed77,HUMAN,shown,badge_unlock,bronze,Bronze,2026-08-26T15:38:51.483Z,2026-08-26T15:38:51.541632+00:00,"{""client_ts"": ""2026-08-26T15:38:51.483Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 10, ""trader_id"": ""feb2a20a-06b1-430e-b813-fbd33d93ed77""}",1787758731.550834
e90a0fe5-179b-47b4-aba7-ced55c86a91f,feb2a20a-06b1-430e-b813-fbd33d93ed77,HUMAN,shown,badge_modal,bronze,Bronze,2026-08-26T15:38:51.484Z,2026-08-26T15:38:51.558595+00:00,"{""client_ts"": ""2026-08-26T15:38:51.484Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""Level up! Doing well"", ""total_trades"": 10, ""trader_id"": ""feb2a20a-06b1-430e-b813-fbd33d93ed77""}",1787758731.569274
e90a0fe5-179b-47b4-aba7-ced55c86a91f,feb2a20a-06b1-430e-b813-fbd33d93ed77,HUMAN,shown,badge_gif,bronze,Bronze,2026-08-26T15:38:51.484Z,2026-08-26T15:38:51.577542+00:00,"{""client_ts"": ""2026-08-26T15:38:51.484Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/bronze.gif"", ""trader_id"": ""feb2a20a-06b1-430e-b813-fbd33d93ed77""}",1787758731.587578
66d8214d-ea71-4944-a944-14eee2d5ab87,4c6fc42e-bd20-4398-b008-d07100fe2fcd,HUMAN,shown,trend_alert,down-streak,down-streak,2026-08-26T15:38:58.845Z,2026-08-26T15:38:58.895443+00:00,"{""client_ts"": ""2026-08-26T15:38:58.845Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""4c6fc42e-bd20-4398-b008-d07100fe2fcd""}",1787758738.910815
