trading_session_uuid,trader_uuid,trader_type,event_name,element_type,element_id,element_label,client_ts,server_received_ts,payload_json,created_ts
569e552c-bdc3-4225-9eac-8a5a85e95d21,2184bbcc-e8b9-4c8e-9d7b-c8bdee118476,HUMAN,shown,trend_alert,down-streak,down-streak,2026-09-10T23:30:04.445Z,2026-09-10T23:30:04.506218+00:00,"{""client_ts"": ""2026-09-10T23:30:04.445Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""2184bbcc-e8b9-4c8e-9d7b-c8bdee118476""}",1789083004.513921
569e552c-bdc3-4225-9eac-8a5a85e95d21,dc44fbde-2ba0-4a45-8f54-1f35cac3dc6a,HUMAN,shown,trend_alert,down-streak,down-streak,2026-09-10T23:30:04.436Z,2026-09-10T23:30:04.519310+00:00,"{""client_ts"": ""2026-09-10T23:30:04.436Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""dc44fbde-2ba0-4a45-8f54-1f35cac3dc6a""}",1789083004.52647
569e552c-bdc3-4225-9eac-8a5a85e95d21,2b88ec82-bcbd-4576-b378-a1ecf086f829,HUMAN,shown,trend_alert,down-streak,down-streak,2026-09-10T23:30:04.445Z,2026-09-10T23:30:04.530442+00:00,"{""client_ts"": ""2026-09-10T23:30:04.445Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""2b88ec82-bcbd-4576-b378-a1ecf086f829""}",1789083004.537511
569e552c-bdc3-4225-9eac-8a5a85e95d21,6d5d9acb-8d79-4edf-a68c-cfb2dc35b92a,HUMAN,shown,trend_alert,down-streak,down-streak,2026-09-10T23:30:04.458Z,2026-09-10T23:30:04.541096+00:00,"{""client_ts"": ""2026-09-10T23:30:04.458Z"", ""element_id"": ""down-streak"", ""element_label"": ""down-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went down 3 times in the last 5 ticks!"", ""trader_id"": ""6d5d9acb-8d79-4edf-a68c-cfb2dc35b92a""}",1789083004.548149
569e552c-bdc3-4225-9eac-8a5a85e95d21,fec04cce-92fe-4669-b66c-470e2aca1e3d,HUMAN,shown,badge_unlock,bronze,Bronze,2026-09-10T23:30:14.637Z,2026-09-10T23:30:14.680719+00:00,"{""client_ts"": ""2026-09-10T23:30:14.637Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_unlock"", ""event_name"": ""shown"", ""total_trades_threshold"": 10, ""trader_id"": ""fec04cce-92fe-4669-b66c-470e2aca1e3d""}",1789083014.687995
569e552c-bdc3-4225-9eac-8a5a85e95d21,fec04cce-92fe-4669-b66c-470e2aca1e3d,HUMAN,shown,badge_modal,bronze,Bronze,2026-09-10T23:30:14.638Z,2026-09-10T23:30:14.692127+00:00,"{""client_ts"": ""2026-09-10T23:30:14.638Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_modal"", ""event_name"": ""shown"", ""message"": ""Level up! Doing well"", ""total_trades"": 10, ""trader_id"": ""fec04cce-92fe-4669-b66c-470e2aca1e3d""}",1789083014.698962
569e552c-bdc3-4225-9eac-8a5a85e95d21,fec04cce-92fe-4669-b66c-470e2aca1e3d,HUMAN,shown,badge_gif,bronze,Bronze,2026-09-10T23:30:14.638Z,2026-09-10T23:30:14.703328+00:00,"{""client_ts"": ""2026-09-10T23:30:14.638Z"", ""element_id"": ""bronze"", ""element_label"": ""Bronze"", ""element_type"": ""badge_gif"", ""event_name"": ""shown"", ""gif"": ""/static/trader_bridge_app/vue/assets/bronze.gif"", ""trader_id"": ""fec04cce-92fe-4669-b66c-470e2aca1e3d""}",1789083014.710795
569e552c-bdc3-4225-9eac-8a5a85e95d21,0ede43b0-2226-437e-a4d6-d3fac6ea7df8,HUMAN,shown,trend_alert,up-streak,up-streak,2026-09-10T23:30:44.764Z,2026-09-10T23:30:44.809127+00:00,"{""client_ts"": ""2026-09-10T23:30:44.764Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""0ede43b0-2226-437e-a4d6-d3fac6ea7df8""}",1789083044.816037
569e552c-bdc3-4225-9eac-8a5a85e95d21,dc44fbde-2ba0-4a45-8f54-1f35cac3dc6a,HUMAN,shown,trend_alert,up-streak,up-streak,2026-09-10T23:30:44.738Z,2026-09-10T23:30:44.819233+00:00,"{""client_ts"": ""2026-09-10T23:30:44.738Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""dc44fbde-2ba0-4a45-8f54-1f35cac3dc6a""}",1789083044.825649
569e552c-bdc3-4225-9eac-8a5a85e95d21,fec04cce-92fe-4669-b66c-470e2aca1e3d,HUMAN,shown,trend_alert,up-streak,up-streak,2026-09-10T23:30:44.765Z,2026-09-10T23:30:44.829389+00:00,"{""client_ts"": ""2026-09-10T23:30:44.765Z"", ""element_id"": ""up-streak"", ""element_label"": ""up-streak"", ""element_type"": ""trend_alert"", ""event_name"": ""shown"", ""message"": ""Price went up 3 times in the last 5 ticks!"", ""trader_id"": ""fec04cce-92fe-4669-b66c-470e2aca1e3d""}",1789083044.836247
