participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trader_uuid,player.current_cash,player.num_shares,player.dividend_per_share,player.dividend_cash,player.cash_after_dividend,player.daybreak_snapshot_error,player.assigned_initial_cash,player.assigned_initial_shares,player.forecast_price_next_day,player.forecast_confidence_next_day,player.forecast_survey_json,player.realized_next_day_closing_price,player.forecast_bonus_earned,player.forecast_bonus_scored,player.algo_belief_present,player.algo_belief_confidence,group.id_in_subsession,group.trading_session_uuid,group.trading_api_base,group.trading_ws_base,group.trading_init_error,group.trading_day_duration_minutes,group.realized_group_size,group.treatment,group.market_design,group.group_composition,group.noise_trader_draw,group.noise_trader_present,group.num_days,group.dividends_csv,group.observed_last_transaction_price,group.closing_price,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,78ek4e7n,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.492025,1,,,5743.0,1,,0.0,cae8a5c5-b388-4c47-83ea-d8890c13c4bf,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
2,38up52f8,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.665302,1,,,2973.0,2,,0.0,5af3ed1d-5f51-4e51-b160-763740999868,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
3,mx74stso,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.793804,1,,,6111.0,3,,0.0,05266ea4-24c8-4886-bb49-dffc3b66c5e1,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
4,03xcqsa5,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.808652,1,,,4626.0,4,,0.0,3545d273-6e7a-4280-85f4-136861dbeb6f,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
5,gjhavmx0,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.864136,1,,,7464.0,5,,0.0,6e5c9b85-d1dd-400d-b918-f882ac76a0d1,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
6,8zudctzx,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:45.922033,1,,,5440.0,6,,0.0,ee776144-5aaa-4d4a-bb45-4cd394e108c6,3800.0,10.0,8.0,80.0,3880.0,,3800.0,10.0,,,,,0.0,0,,,1,8af76134-12d1-4148-b38b-de0987f94910,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ghp,gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",,,1,ykk5p8z9,,,,,0
7,zxclkk3l,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:46.390375,1,,,6037.0,1,,0.0,d0a02b75-7cc4-4384-acf4-fbd1e64804fe,2600.0,20.0,8.0,160.0,2760.0,,2600.0,20.0,,,,,0.0,0,,,2,f89fa6f5-6fb8-49a2-a734-f6d83cc58caa,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",130.0,130.0,1,ykk5p8z9,,,,,0
8,99ctxiqw,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:46.697572,1,,,6790.0,2,,0.0,0fb394a2-f0e3-45a0-971b-552c22646c28,3300.0,11.0,8.0,88.0,3388.0,,3800.0,10.0,,,,,0.0,0,,,2,f89fa6f5-6fb8-49a2-a734-f6d83cc58caa,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",130.0,130.0,1,ykk5p8z9,,,,,0
9,lz6sdo3r,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:46.895605,1,,,6812.0,3,,0.0,fbf0a63f-2a66-481b-b76a-8a6137d05a51,2470.0,21.0,8.0,168.0,2638.0,,2600.0,20.0,,,,,0.0,0,,,2,f89fa6f5-6fb8-49a2-a734-f6d83cc58caa,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",130.0,130.0,1,ykk5p8z9,,,,,0
10,5hdyag7g,,0,308,307,post_exp,FinalForProlific,2026-09-10 23:15:48.011339,1,,,4973.0,4,,0.0,9f9ebeb3-7807-4b91-b3a9-bc9b057a5b93,4430.0,8.0,8.0,64.0,4494.0,,3800.0,10.0,,,,,0.0,0,,,2,f89fa6f5-6fb8-49a2-a734-f6d83cc58caa,https://london-trader-6b45bffdcd02.herokuapp.com,wss://london-trader-6b45bffdcd02.herokuapp.com,,1,6,ng,non_gamified,human_only,0.0,0,3,"[8.0, 4.0, 20.0, 8.0, 8.0, 20.0, 20.0, 4.0, 20.0, 4.0, 20.0, 0.0, 8.0, 8.0, 8.0, 8.0, 8.0, 4.0, 4.0, 20.0, 0.0, 0.0, 8.0, 4.0, 4.0, 4.0, 20.0, 8.0, 8.0, 0.0, 8.0, 4.0, 4.0]",130.0,130.0,1,ykk5p8z9,,,,,0
